  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  |               |                |                  |           |     |               0 - K_GRANDANA_P                                                                          |
  |               |                |                  |           |     |               1 - K_GRANDANA_Q                                                                          |
  |               |                |                  |           |     |               2 - K_GRANDANA_QANT                                                                       |
  |               |                |                  |           |     |               3 - K_GRANDANA_VOLT                                                                       |
  |               |                |                  |           |     |               4 - K_GRANDANA_FREQ                                                                       |
  |               |                |                  |           |     |               5 - K_GRANDANA_TAP                                                                        |
  |               |                |                  |           |     |               6 - K_GRANDANA_CORRENT                                                                    |
  |               |                |                  |           |     |               7 - K_GRANDANA_MVA                                                                        |
  |               |                |                  |           |     |               8 - K_GRANDANA_TEMPO                                                                      |
  |               |                |                  |           |     |              10 - K_GRANDANA_FASE                                                                       |
  |               |                |                  |           |     |              11 - K_GRANDANA_FPOT                                                                       |
  |               |                |                  |           |     |              12 - K_GRANDANA_TMP                                                                        |
  |               |                |                  |           |     |              13 - K_GRANDANA_PRESSAO                                                                    |
  |               |                |                  |           |     |              14 - K_GRANDANA_RPM                                                                        |
  |               |                |                  |           |     |              15 - K_GRANDANA_VAZAO                                                                      |
  |               |                |                  |           |     |              16 - K_GRANDANA_BIAS                                                                       |
  |               |                |                  |           |     |              17 - K_GRANDANA_ECA                                                                        |
  |               |                |                  |           |     |              18 - K_GRANDANA_VOLT_FN                                                                    |
  |               |                |                  |           |     |              19 - K_GRANDANA_MWH                                                                        |
  |               |                |                  |           |     |              20 - K_GRANDANA_NVL                                                                        |
  |               |                |                  |           |     |              21 - K_GRANDANA_PLV                                                                        |
  |               |                |                  |           |     |              22 - K_GRANDANA_DIST                                                                       |
  |               |                |                  |           |     |              23 - K_GRANDANA_VOLT_AB                                                                    |
  |               |                |                  |           |     |              24 - K_GRANDANA_VOLT_BC                                                                    |
  |               |                |                  |           |     |              25 - K_GRANDANA_VOLT_CA                                                                    |
  |               |                |                  |           |     |              26 - K_GRANDANA_VOLT_AN                                                                    |
  |               |                |                  |           |     |              27 - K_GRANDANA_VOLT_BN                                                                    |
  |               |                |                  |           |     |              28 - K_GRANDANA_VOLT_CN                                                                    |
  |               |                |                  |           |     |              29 - K_GRANDANA_MWH_E                                                                      |
  |               |                |                  |           |     |              30 - K_GRANDANA_MWH_S                                                                      |
  |               |                |                  |           |     |              31 - K_GRANDANA_MWHH                                                                       |
  |               |                |                  |           |     |              32 - K_GRANDANA_MVARH                                                                      |
  |               |                |                  |           |     |              33 - K_GRANDANA_MVARH_E                                                                    |
  |               |                |                  |           |     |              34 - K_GRANDANA_MVARH_S                                                                    |
  |               |                |                  |           |     |              35 - K_GRANDANA_VCC                                                                        |
  |               |                |                  |           |     |              36 - K_GRANDANA_PCARGA                                                                     |
  |               |                |                  |           |     |              37 - K_GRANDANA_COR_A                                                                      |
  |               |                |                  |           |     |              38 - K_GRANDANA_COR_B                                                                      |
  |               |                |                  |           |     |              39 - K_GRANDANA_COR_C                                                                      |
  |               |                |                  |           |     |              40 - K_GRANDANA_COR_N                                                                      |
  |               |                |                  |           |     |              41 - K_GRANDANA_MDT                                                                        |
  |               |                |                  |           |     |              42 - K_GRANDANA_PMT                                                                        |
  |               |                |                  |           |     |              43 - K_GRANDANA_MDF                                                                        |
  |               |                |                  |           |     |              44 - K_GRANDANA_HARMONICAS                                                                 |
  |               |                |                  |           |     |              45 - K_GRANDANA_ALRP                                                                       |
  |               |                |                  |           |     |              46 - K_GRANDANA_KVD                                                                        |
  |               |                |                  |           |     |              47 - K_GRANDANA_ANG_DPEX                                                                   |
  |               |                |                  |           |     |              48 - K_GRANDANA_ANG_COMU                                                                   |
  |               |                |                  |           |     |              49 - K_GRANDANA_VOLT_N                                                                     |
  |               |                |                  |           |     |              50 - K_GRANDANA_AMPL_OSC                                                                   |
  |               |                |                  |           |     |              51 - K_GRANDANA_FREQ_OSC                                                                   |
  |               |                |                  |           |     |              52 - K_GRANDANA_DAMP_OSC                                                                   |
  |               |                |                  |           |     |              53 - K_GRANDANA_DFREQ                                                                      |
  |               |                |                  |           |     |              54 - K_GRANDANA_PERCENT                                                                    |
  |               |                |                  |           |     |              55 - K_GRANDANA_AAMP                                                                       |
  |               |                |                  |           |     |              56 - K_GRANDANA_AAMP_A                                                                     |
  |               |                |                  |           |     |              57 - K_GRANDANA_AAMP_B                                                                     |
  |               |                |                  |           |     |              58 - K_GRANDANA_AAMP_C                                                                     |
  |               |                |                  |           |     |              59 - K_GRANDANA_AAMP_N                                                                     |
  |               |                |                  |           |     |              60 - K_GRANDANA_AKV                                                                        |
  |               |                |                  |           |     |              61 - K_GRANDANA_AKV_AN                                                                     |
  |               |                |                  |           |     |              62 - K_GRANDANA_AKV_BN                                                                     |
  |               |                |                  |           |     |              63 - K_GRANDANA_AKV_CN                                                                     |
  |               |                |                  |           |     |              64 - K_GRANDANA_AKV_N                                                                      |
  |               |                |                  |           |     |              65 - K_GRANDANA_DEFA                                                                       |
  |               |                |                  |           |     |              99 - K_GRANDANA_OUTROS                                                                     |
